Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative Instance ID,Destination Domains,Channels,Rank,Original_Feed
searchengineland.com,https://searchengineland.com/feed,Search Engine Land,Technology,Enabled,3051,,article,,searchengineland.com,,132,
gqindia.com,https://www.gqindia.com/feed/rss,GQ India,Lifestyle,Enabled,3033,,article,,gqindia.com,Lifestyle,133,
onmanorama.com,https://www.onmanorama.com/news/india.feeds.onmrss.xml,Onmanorama,Top News,Enabled,3025,,article,,onmanorama.com,,134,
republicworld.com,https://www.republicworld.com/rss/india/general-news.xml,Republic World,Top News,Enabled,3006,,article,,republicworld.com,,136,
fextralife.com,https://fextralife.com/feed,Fextralife,Gaming,Enabled,2996,,article,,fextralife.com,Gaming,137,
freepressjournal.in,https://www.freepressjournal.in/stories.rss,Free Press Journal,Top News,Enabled,2947,,article,,freepressjournal.in,,138,
dailymail.co.uk,https://www.dailymail.co.uk/news/india/index.rss,Daily Mail India,Top News,Enabled,2875,,article,,dailymail.co.uk,,139,
vox.com,https://www.vox.com/rss/index.xml,Vox,Culture,Enabled,2736,,article,,vox.com,Culture,140,
123telugu.com,https://www.123telugu.com/feed,123telugu,Entertainment,Enabled,2712,,article,,123telugu.com,Entertainment; Film and TV,141,
rockpapershotgun.com,https://www.rockpapershotgun.com/feed,Rock Paper Shotgun,Gaming,Enabled,2688,,article,,rockpapershotgun.com,Gaming,142,
archdaily.com,https://www.archdaily.com/feed,ArchDaily,Culture,Enabled,2660,,article,,archdaily.com,Culture,143,
deadline.com,https://deadline.com/feed/rss/,Deadline,Entertainment,Enabled,2603,,article,,deadline.com,Entertainment; Film and TV,144,
billboard.com,https://www.billboard.com/feed/rss,Billboard,Music,Enabled,2574,,article,,billboard.com,Entertainment; Music,145,
economist.com,https://www.economist.com/business/rss.xml,The Economist,Business,Enabled,2535,,article,,economist.com,Business,146,
maketecheasier.com,https://www.maketecheasier.com/feed,Make Tech Easier,Technology,Enabled,2243,,article,,maketecheasier.com,,147,
theweek.in,https://www.theweek.in/news/india.rss.html,The Week,Top News,Enabled,2209,,article,,theweek.in,,148,
theatlantic.com,https://www.theatlantic.com/feed/all/,The Atlantic,Culture,Enabled,2176,,article,,theatlantic.com,Culture,149,
thenewsminute.com,https://www.thenewsminute.com/feed,The News Minute,Top News,Enabled,2169,,article,,thenewsminute.com,,150,
bbcgoodfood.com,https://www.bbcgoodfood.com/feed/atom,Welcome to Good Food,Food,Enabled,2039,,article,,bbcgoodfood.com,Lifestyle; Food,151,
cntraveller.in,https://www.cntraveller.in/feed/rss,Condé Nast Traveller India,Travel,Enabled,1881,,article,,cntraveller.in,Lifestyle; Travel,152,
sportstar.thehindu.com,https://sportstar.thehindu.com/cricket/indian/feeder/default.rss,Sportstar,Sports,Enabled,1,,article,,sportstar.thehindu.com,Sports,153,
aninews.in,https://aninews.in/rss/feed/category/national.xml,ANI,Top News,Enabled,1,,article,,aninews.in,Top News,155,
