Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative ID,Destination Domains,Channels,Rank,Original_Feed
https://europapress.es/,https://www.europapress.es/rss/rss.aspx?ch=94,Europa Press,Top News,Enabled,,,article,,www.europapress.es,Top Sources;Top News,20,
https://xatakandroid.com/,https://www.xatakandroid.com/index.xml,Xataka Android,Technology,Disabled,,,article,,www.xatakandroid.com,Technology,21,
https://espinof.com/,https://feeds.weblogssl.com/espinof,Espinof,Entertainment,Disabled,,,article,,www.espinof.com,Entertainment,22,
https://computerhoy.com/,https://www.computerhoy.com/rss_all/all/rss.xml,ComputerHoy,Technology,Disabled,,,article,,computerhoy.com,Technology,23,
https://theguardian.com/,https://www.theguardian.com/international/rss,The Guardian World News,World News,Enabled,,,article,,www.theguardian.com,World News,24,https://www.theguardian.com/world/rss
https://fotogramas.es/,https://www.fotogramas.es/rss/all.xml/,Fotogramas,Entertainment,Disabled,,,article,,www.fotogramas.es,Entertainment,25,
https://xatakamovil.com/,https://www.xatakamovil.com/index.xml,Xataka Móvil,Technology,Disabled,,,article,,www.xatakamovil.com,Technology,26,
https://okdiario.com/,https://okdiario.com/feed,OKdiario,Top News,Disabled,,,article,,okdiario.com,Top News,27,
https://hola.com/,https://www.hola.com/rss.xml,Hola.com,Fashion,Disabled,,,article,,www.hola.com,Fashion,28,
https://andro4all.com/,https://feeds.feedburner.com/Andro4allcom,Andro4all,Technology,Disabled,,,article,,andro4all.com,Technology,29,
https://vidaextra.com/,https://feeds.weblogssl.com/vidaextra,Vida Extra,Technology,Disabled,,,article,,www.vidaextra.com,Technology,30,
https://lasexta.com/,https://www.lasexta.com/rss/60000003.xml,La Sexta,Top News,Disabled,,,article,,www.lasexta.com,Top News,31,
https://decine21.com/,https://decine21.com/magazine?format=feed,Decine21,Entertainment,Disabled,,,article,,decine21.com,Entertainment,32,
https://investing.com/,https://www.investing.com/rss/feed.xml,Investing.com,Business,Disabled,,,article,,investing.com,Business,33,
https://wikihow.com/,https://www.wikihow.com/feed.rss,Wikihow,Culture,Disabled,,,article,,www.wikihow.com,Culture,34,
https://elcorreo.com/,https://www.elcorreo.com/rss/2.0/portada,El Correo,Top News,Disabled,,,article,,athletic.elcorreo.com;www.elcorreo.com,Top News,35,
https://redeszone.net/,https://feeds.feedburner.com/redeszone/redes,Redes Zone,Technology,Disabled,,,article,,www.redeszone.net,Technology,36,
https://profesionalreview.com/,https://www.profesionalreview.com/feed/,Profesional Review,Technology,Disabled,,,article,,www.profesionalreview.com,Technology,37,
https://tiempo.com/,https://www.tiempo.com/feed/,Tiempo.com,Weather,Disabled,,,article,,www.tiempo.com,Weather,38,
https://hobbyconsolas.com/,https://www.hobbyconsolas.com/rss,Hobby Consolas,Entertainment,Disabled,,,article,,www.hobbyconsolas.com,Entertainment,39,
https://genbeta.com/,https://www.genbeta.com/index.xml,Genbeta,Technology,Disabled,,,article,,www.genbeta.com,Technology,40,
https://antena3.com/,https://www.antena3.com/rss/347795.xml,Antena 3,Top News,Disabled,,,article,,www.antena3.com,Top News,41,
https://ecartelera.com/,https://www.ecartelera.com/rss/feed.xml,eCartelera,Entertainment,Disabled,,,article,,www.ecartelera.com,Entertainment,42,
