Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative Instance ID,Destination Domains,Channels,Rank,Original_Feed
https://www.dotesports.com,https://dotesports.com/feed,Dot Esports,Sports,Enabled,,,article,,dotesports.com,Sports,57,
https://www.pcgamesn.com,https://www.pcgamesn.com/mainrss.xml,PC GamesN,Gaming,Enabled,,,article,,pcgamesn.com,Gaming,58,
https://www.linuxhint.com,https://linuxhint.com/feed/,LinuxHint,Technology,Enabled,,,article,,linuxhint.com,Technology,59,
https://www.indiatimes.com,https://timesofindia.indiatimes.com/rssfeeds/-2128936835.cms,Indiatimes,Top News,Enabled,,,article,,indiatimes.com,Top News,60,
https://www.fool.com.au,https://www.fool.com.au/feed/,Motley Fool Australia,Business,Enabled,,,article,,fool.com.au,Business,61,
https://www.variety.com,https://www.variety.com/rss,Variety,Entertainment,Enabled,,,article,,variety.com,Entertainment,62,
https://www.radiotimes.com,https://www.radiotimes.com/feed/atom/,Radio Times,TV,Enabled,,,article,,radiotimes.com,Entertainment,63,
https://www.independent.co.uk,https://www.independent.co.uk/news/world/rss,The Independent World News,World News,Enabled,,,article,,independent.co.uk,World News,64,
https://www.windowscentral.com,https://www.windowscentral.com/rss.xml,Windows Central,Technology,Enabled,,,article,,windowscentral.com,Technology,65,
https://www.collider.com,https://www.collider.com/feed/,Collider,Entertainment,Enabled,,,article,,collider.com,Entertainment,66,
https://www.wired.com,https://www.wired.com/feed,Wired,Technology,Enabled,,,article,,wired.com,Technology,67,
https://www.rtings.com,https://www.rtings.com/reviews-rss.xml,Rtings,Technology,Enabled,,,article,,rtings.com,Technology,68,
https://www.cbr.com,https://www.cbr.com/feed/,CBR,Entertainment,Enabled,,,article,,cbr.com,Entertainment,69,
https://www.knowyourmeme.com,https://www.knowyourmeme.com/newsfeed.rss,Know Your Meme,Fun,Enabled,,,article,,knowyourmeme.com,Fun,70,
https://www.people.com,https://www.people.com/feeds/google-news,People,Celebrity News,Enabled,,,article,,people.com,Top Sources; Celebrity News,71,
https://www.allrecipes.com,https://www.allrecipes.com/feeds/google-news,Allrecipes,Food,Enabled,,,article,,allrecipes.com,Food,72,
https://www.alphr.com,https://www.alphr.com/rss,Alphr,Technology,Enabled,,,article,,alphr.com,Technology,73,
https://www.verywellmind.com,https://www.verywellmind.com/feeds/google-news,Very Well Mind,Health,Enabled,,,article,,verywellmind.com,Health,74,
https://www.usatoday.com,https://rssfeeds.usatoday.com/usatoday-newstopstories&x=1,USA Today,Top News,Enabled,,,article,,usatoday.com,Top News,75,
https://www.macrumors.com,https://feeds.macrumors.com/MacRumors-Front,MacRumors,Technology,Enabled,,,article,,macrumors.com,Technology,76,
https://www.chron.com,https://www.chron.com/rss/feed/News-270.php,Chron,Top News,Enabled,,,article,,chron.com,Top News,77,
https://www.verywellhealth.com,https://www.verywellhealth.com/feeds/google-news,Very Well Health,Health,Enabled,,,article,,verywellhealth.com,Health,78,
https://www.carexpert.com.au,https://www.carexpert.com.au/feed,carexpert,Cars,Enabled,,,article,,carexpert.com.au,Cars,79,
https://www.npr.org,https://feeds.npr.org/1001/rss.xml,NPR,Top News,Enabled,,,article,,npr.org,Top News,80,
https://www.towardsdatascience.com,https://towardsdatascience.com/feed,Towards Data Science,Technology,Enabled,,,article,,towardsdatascience.com,Technology,81,
https://www.nme.com,https://www.nme.com/feed,NME,Music,Enabled,,,article,,nme.com,Entertainment,82,
https://www.vox.com,https://www.vox.com/rss/index.xml,Vox,Top News,Enabled,,,article,,vox.com,Culture,83,
https://www.newyorker.com,https://www.newyorker.com/feed/everything,The New Yorker,Lifestyle,Enabled,,,article,,newyorker.com,Culture,84,
https://www.thespruceeats.com,https://www.thespruceeats.com/feeds/google-news,The Spruce Eats,Food,Enabled,,,article,,thespruceeats.com,Food,85,
https://www.zerohedge.com,https://feeds.feedburner.com/zerohedge/feed,Zerohedge,Business,Enabled,,,article,,zerohedge.com,Business,86,
